firstName,lastName,collegeName,currentTeam,draftTeam,draftYear,yearsPro,position
Michael,Carter-Williams,Syracuse,"[{'teamId': '1610612755', 'seasonStart': '2013', 'seasonEnd': '2014'}, {'teamId': '1610612749', 'seasonStart': '2014', 'seasonEnd': '2015'}, {'teamId': '1610612741', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612766', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612745', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612755', 'pickNum': '11', 'roundNum': '1', 'seasonYear': '2013'}",2013,5,G
Alex,Caruso,Texas A&amp;M;,"[{'teamId': '1610612747', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2017,1,G
Omri,Casspi,"Yavne, Israel","[{'teamId': '1610612758', 'seasonStart': '2009', 'seasonEnd': '2010'}, {'teamId': '1610612739', 'seasonStart': '2011', 'seasonEnd': '2012'}, {'teamId': '1610612745', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612758', 'seasonStart': '2014', 'seasonEnd': '2016'}, {'teamId': '1610612750', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612740', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612744', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612763', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612758', 'pickNum': '23', 'roundNum': '1', 'seasonYear': '2009'}",2009,9,F
Willie,Cauley-Stein,Kentucky,"[{'teamId': '1610612758', 'seasonStart': '2015', 'seasonEnd': '2018'}]","{'teamId': '1610612758', 'pickNum': '6', 'roundNum': '1', 'seasonYear': '2015'}",2015,3,C
Troy,Caupain,Cincinnati,"[{'teamId': '1610612753', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",,0,G
Tyler,Cavanaugh,George Washington,"[{'teamId': '1610612737', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612762', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2017,1,F
Tyson,Chandler,Dominquez H.S,"[{'teamId': '1610612741', 'seasonStart': '2001', 'seasonEnd': '2005'}, {'teamId': '1610612740', 'seasonStart': '2006', 'seasonEnd': '2008'}, {'teamId': '1610612766', 'seasonStart': '2009', 'seasonEnd': '2009'}, {'teamId': '1610612742', 'seasonStart': '2010', 'seasonEnd': '2010'}, {'teamId': '1610612752', 'seasonStart': '2011', 'seasonEnd': '2013'}, {'teamId': '1610612742', 'seasonStart': '2013', 'seasonEnd': '2014'}, {'teamId': '1610612756', 'seasonStart': '2015', 'seasonEnd': '2018'}, {'teamId': '1610612747', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612746', 'pickNum': '2', 'roundNum': '1', 'seasonYear': '2001'}",2001,17,C
Wilson,Chandler,DePaul,"[{'teamId': '1610612752', 'seasonStart': '2007', 'seasonEnd': '2010'}, {'teamId': '1610612743', 'seasonStart': '2010', 'seasonEnd': '2017'}, {'teamId': '1610612755', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612752', 'pickNum': '23', 'roundNum': '1', 'seasonYear': '2007'}",2007,10,F
Joe,Chealey,Charleston (SC),"[{'teamId': '1610612766', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",,0,G
Marquese,Chriss,Washington,"[{'teamId': '1610612756', 'seasonStart': '2016', 'seasonEnd': '2017'}, {'teamId': '1610612745', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612756', 'pickNum': '8', 'roundNum': '1', 'seasonYear': '2016'}",2016,2,F
Gary,Clark,,"[{'teamId': '1610612745', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2018,0,F
Ian,Clark,Belmont,"[{'teamId': '1610612762', 'seasonStart': '2013', 'seasonEnd': '2014'}, {'teamId': '1610612743', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612744', 'seasonStart': '2015', 'seasonEnd': '2016'}, {'teamId': '1610612740', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2013,5,G
Jordan,Clarkson,Missouri,"[{'teamId': '1610612747', 'seasonStart': '2014', 'seasonEnd': '2017'}, {'teamId': '1610612739', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612764', 'pickNum': '46', 'roundNum': '2', 'seasonYear': '2014'}",2014,4,G
John,Collins,Wake Forest,"[{'teamId': '1610612737', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612737', 'pickNum': '19', 'roundNum': '1', 'seasonYear': '2017'}",2017,1,F-C
Zach,Collins,Gonzaga,"[{'teamId': '1610612757', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612758', 'pickNum': '10', 'roundNum': '1', 'seasonYear': '2017'}",2017,1,F-C
Darren,Collison,UCLA,"[{'teamId': '1610612740', 'seasonStart': '2009', 'seasonEnd': '2009'}, {'teamId': '1610612754', 'seasonStart': '2010', 'seasonEnd': '2011'}, {'teamId': '1610612742', 'seasonStart': '2012', 'seasonEnd': '2012'}, {'teamId': '1610612746', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612758', 'seasonStart': '2014', 'seasonEnd': '2016'}, {'teamId': '1610612754', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612740', 'pickNum': '21', 'roundNum': '1', 'seasonYear': '2009'}",2009,9,G
Mike,Conley,Ohio State,"[{'teamId': '1610612763', 'seasonStart': '2007', 'seasonEnd': '2018'}]","{'teamId': '1610612763', 'pickNum': '4', 'roundNum': '1', 'seasonYear': '2007'}",2007,11,G
Pat,Connaughton,Notre Dame,"[{'teamId': '1610612757', 'seasonStart': '2015', 'seasonEnd': '2017'}, {'teamId': '1610612749', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612751', 'pickNum': '41', 'roundNum': '2', 'seasonYear': '2015'}",2015,3,G
Quinn,Cook,Duke,"[{'teamId': '1610612740', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612742', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612744', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2016,2,G
DeMarcus,Cousins,Kentucky,"[{'teamId': '1610612758', 'seasonStart': '2010', 'seasonEnd': '2016'}, {'teamId': '1610612740', 'seasonStart': '2016', 'seasonEnd': '2017'}, {'teamId': '1610612744', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612758', 'pickNum': '5', 'roundNum': '1', 'seasonYear': '2010'}",2010,8,C
Robert,Covington,Tennessee State,"[{'teamId': '1610612745', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612755', 'seasonStart': '2014', 'seasonEnd': '2018'}, {'teamId': '1610612750', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2013,5,F
Allen,Crabbe,California,"[{'teamId': '1610612757', 'seasonStart': '2013', 'seasonEnd': '2016'}, {'teamId': '1610612751', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612739', 'pickNum': '31', 'roundNum': '2', 'seasonYear': '2013'}",2013,5,G-F
Torrey,Craig,South Carolina Upstate,"[{'teamId': '1610612743', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2017,1,F
Jamal,Crawford,Michigan,"[{'teamId': '1610612741', 'seasonStart': '2000', 'seasonEnd': '2003'}, {'teamId': '1610612752', 'seasonStart': '2004', 'seasonEnd': '2008'}, {'teamId': '1610612744', 'seasonStart': '2008', 'seasonEnd': '2008'}, {'teamId': '1610612737', 'seasonStart': '2009', 'seasonEnd': '2010'}, {'teamId': '1610612757', 'seasonStart': '2011', 'seasonEnd': '2011'}, {'teamId': '1610612746', 'seasonStart': '2012', 'seasonEnd': '2016'}, {'teamId': '1610612750', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612756', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612739', 'pickNum': '8', 'roundNum': '1', 'seasonYear': '2000'}",2000,18,G
Jae,Crowder,Marquette,"[{'teamId': '1610612742', 'seasonStart': '2012', 'seasonEnd': '2014'}, {'teamId': '1610612738', 'seasonStart': '2014', 'seasonEnd': '2016'}, {'teamId': '1610612739', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612762', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612739', 'pickNum': '34', 'roundNum': '2', 'seasonYear': '2012'}",2012,6,F
Dante,Cunningham,Villanova,"[{'teamId': '1610612757', 'seasonStart': '2009', 'seasonEnd': '2010'}, {'teamId': '1610612766', 'seasonStart': '2010', 'seasonEnd': '2010'}, {'teamId': '1610612763', 'seasonStart': '2011', 'seasonEnd': '2011'}, {'teamId': '1610612750', 'seasonStart': '2012', 'seasonEnd': '2013'}, {'teamId': '1610612740', 'seasonStart': '2014', 'seasonEnd': '2017'}, {'teamId': '1610612751', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612759', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612757', 'pickNum': '33', 'roundNum': '2', 'seasonYear': '2009'}",2009,10,F
Seth,Curry,Duke,"[{'teamId': '1610612763', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612739', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612756', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612758', 'seasonStart': '2015', 'seasonEnd': '2015'}, {'teamId': '1610612742', 'seasonStart': '2016', 'seasonEnd': '2017'}, {'teamId': '1610612757', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2013,4,G
Stephen,Curry,Davidson,"[{'teamId': '1610612744', 'seasonStart': '2009', 'seasonEnd': '2018'}]","{'teamId': '1610612744', 'pickNum': '7', 'roundNum': '1', 'seasonYear': '2009'}",2009,9,G
Troy,Daniels,Virginia Commonwealth,"[{'teamId': '1610612745', 'seasonStart': '2013', 'seasonEnd': '2014'}, {'teamId': '1610612750', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612766', 'seasonStart': '2014', 'seasonEnd': '2015'}, {'teamId': '1610612763', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612756', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2013,5,G
Anthony,Davis,Kentucky,"[{'teamId': '1610612740', 'seasonStart': '2012', 'seasonEnd': '2018'}]","{'teamId': '1610612740', 'pickNum': '1', 'roundNum': '1', 'seasonYear': '2012'}",2012,6,F-C
Ed,Davis,North Carolina,"[{'teamId': '1610612761', 'seasonStart': '2010', 'seasonEnd': '2012'}, {'teamId': '1610612763', 'seasonStart': '2012', 'seasonEnd': '2013'}, {'teamId': '1610612747', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612757', 'seasonStart': '2015', 'seasonEnd': '2017'}, {'teamId': '1610612751', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612761', 'pickNum': '13', 'roundNum': '1', 'seasonYear': '2010'}",2010,8,C
Tyler,Davis,,"[{'teamId': '1610612760', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2018,0,C
Dewayne,Dedmon,Southern California,"[{'teamId': '1610612744', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612755', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612753', 'seasonStart': '2013', 'seasonEnd': '2015'}, {'teamId': '1610612759', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612737', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2013,5,C
Sam,Dekker,Wisconsin,"[{'teamId': '1610612745', 'seasonStart': '2015', 'seasonEnd': '2016'}, {'teamId': '1610612746', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612764', 'seasonStart': '2018', 'seasonEnd': '2018'}, {'teamId': '1610612739', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612745', 'pickNum': '18', 'roundNum': '1', 'seasonYear': '2015'}",2015,3,F
Angel,Delgado,,"[{'teamId': '1610612746', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",,0,C
Matthew,Dellavedova,Saint Mary's (CA),"[{'teamId': '1610612739', 'seasonStart': '2013', 'seasonEnd': '2015'}, {'teamId': '1610612749', 'seasonStart': '2016', 'seasonEnd': '2018'}, {'teamId': '1610612739', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2013,5,G
Luol,Deng,Duke,"[{'teamId': '1610612741', 'seasonStart': '2004', 'seasonEnd': '2013'}, {'teamId': '1610612739', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612748', 'seasonStart': '2014', 'seasonEnd': '2015'}, {'teamId': '1610612747', 'seasonStart': '2016', 'seasonEnd': '2017'}, {'teamId': '1610612750', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612756', 'pickNum': '7', 'roundNum': '1', 'seasonYear': '2004'}",2004,14,F
DeMar,DeRozan,Southern California,"[{'teamId': '1610612761', 'seasonStart': '2009', 'seasonEnd': '2017'}, {'teamId': '1610612759', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612761', 'pickNum': '9', 'roundNum': '1', 'seasonYear': '2009'}",2009,9,G
Marcus,Derrickson,,"[{'teamId': '1610612744', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2018,0,F
Cheick,Diallo,Kansas,"[{'teamId': '1610612740', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612746', 'pickNum': '33', 'roundNum': '2', 'seasonYear': '2016'}",2016,2,F
Hamidou,Diallo,Kentucky,"[{'teamId': '1610612760', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612751', 'pickNum': '45', 'roundNum': '2', 'seasonYear': '2018'}",2018,0,G
Gorgui,Dieng,Louisville,"[{'teamId': '1610612750', 'seasonStart': '2013', 'seasonEnd': '2018'}]","{'teamId': '1610612762', 'pickNum': '21', 'roundNum': '1', 'seasonYear': '2013'}",2013,5,C
Spencer,Dinwiddie,Colorado,"[{'teamId': '1610612765', 'seasonStart': '2014', 'seasonEnd': '2015'}, {'teamId': '1610612741', 'seasonStart': '2015', 'seasonEnd': '2015'}, {'teamId': '1610612751', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612765', 'pickNum': '38', 'roundNum': '2', 'seasonYear': '2014'}",2014,4,G
Donte,DiVincenzo,Villanova,"[{'teamId': '1610612749', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612749', 'pickNum': '17', 'roundNum': '1', 'seasonYear': '2018'}",2018,0,G
Luka,Doncic,,"[{'teamId': '1610612742', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612737', 'pickNum': '3', 'roundNum': '1', 'seasonYear': '2018'}",2018,0,F-G
Tyler,Dorsey,Oregon,"[{'teamId': '1610612737', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612737', 'pickNum': '41', 'roundNum': '2', 'seasonYear': '2017'}",2017,1,G
Damyean,Dotson,Houston,"[{'teamId': '1610612752', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612752', 'pickNum': '44', 'roundNum': '2', 'seasonYear': '2017'}",2017,1,G
PJ,Dozier,South Carolina,"[{'teamId': '1610612760', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612738', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2017,1,G-F
Goran,Dragic,"Ljubljana, Slovenia","[{'teamId': '1610612756', 'seasonStart': '2008', 'seasonEnd': '2010'}, {'teamId': '1610612745', 'seasonStart': '2010', 'seasonEnd': '2011'}, {'teamId': '1610612756', 'seasonStart': '2012', 'seasonEnd': '2014'}, {'teamId': '1610612748', 'seasonStart': '2014', 'seasonEnd': '2018'}]","{'teamId': '1610612759', 'pickNum': '45', 'roundNum': '2', 'seasonYear': '2008'}",2008,10,G
Andre,Drummond,Connecticut,"[{'teamId': '1610612765', 'seasonStart': '2012', 'seasonEnd': '2018'}]","{'teamId': '1610612765', 'pickNum': '9', 'roundNum': '1', 'seasonYear': '2012'}",2012,6,C
Jared,Dudley,Boston College,"[{'teamId': '1610612766', 'seasonStart': '2007', 'seasonEnd': '2008'}, {'teamId': '1610612756', 'seasonStart': '2008', 'seasonEnd': '2012'}, {'teamId': '1610612746', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612749', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612764', 'seasonStart': '2015', 'seasonEnd': '2015'}, {'teamId': '1610612756', 'seasonStart': '2016', 'seasonEnd': '2017'}, {'teamId': '1610612751', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612766', 'pickNum': '22', 'roundNum': '1', 'seasonYear': '2007'}",2007,11,F
Kris,Dunn,Providence,"[{'teamId': '1610612750', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612741', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612750', 'pickNum': '5', 'roundNum': '1', 'seasonYear': '2016'}",2016,2,G
Kevin,Durant,Texas,"[{'teamId': '1610612760', 'seasonStart': '2007', 'seasonEnd': '2015'}, {'teamId': '1610612744', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612760', 'pickNum': '2', 'roundNum': '1', 'seasonYear': '2007'}",2007,11,F
Trevon,Duval,,"[{'teamId': '1610612749', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",,0,G
Vincent,Edwards,Purdue,"[{'teamId': '1610612745', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612762', 'pickNum': '52', 'roundNum': '2', 'seasonYear': '2018'}",2018,0,F
Henry,Ellenson,Marquette,"[{'teamId': '1610612765', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612765', 'pickNum': '18', 'roundNum': '1', 'seasonYear': '2016'}",2016,2,F
Wayne,Ellington,North Carolina,"[{'teamId': '1610612750', 'seasonStart': '2009', 'seasonEnd': '2011'}, {'teamId': '1610612739', 'seasonStart': '2012', 'seasonEnd': '2012'}, {'teamId': '1610612763', 'seasonStart': '2012', 'seasonEnd': '2012'}, {'teamId': '1610612752', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612742', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612747', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612751', 'seasonStart': '2015', 'seasonEnd': '2015'}, {'teamId': '1610612748', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612750', 'pickNum': '28', 'roundNum': '1', 'seasonYear': '2009'}",2009,9,G
Joel,Embiid,Kansas,"[{'teamId': '1610612755', 'seasonStart': '2014', 'seasonEnd': '2018'}]","{'teamId': '1610612755', 'pickNum': '3', 'roundNum': '1', 'seasonYear': '2014'}",2016,2,F-C
James,Ennis III,Long Beach State,"[{'teamId': '1610612748', 'seasonStart': '2014', 'seasonEnd': '2015'}, {'teamId': '1610612740', 'seasonStart': '2015', 'seasonEnd': '2015'}, {'teamId': '1610612763', 'seasonStart': '2015', 'seasonEnd': '2015'}, {'teamId': '1610612763', 'seasonStart': '2016', 'seasonEnd': '2017'}, {'teamId': '1610612765', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612745', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612737', 'pickNum': '50', 'roundNum': '2', 'seasonYear': '2013'}",2014,4,F
Drew,Eubanks,,"[{'teamId': '1610612759', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2018,0,F
Jacob,Evans,Cincinnati,"[{'teamId': '1610612744', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612744', 'pickNum': '28', 'roundNum': '1', 'seasonYear': '2018'}",2018,0,G
Jawun,Evans,Oklahoma State,"[{'teamId': '1610612746', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612756', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612755', 'pickNum': '39', 'roundNum': '2', 'seasonYear': '2017'}",2017,1,G
Keenan,Evans,,"[{'teamId': '1610612765', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",,0,G
Tyreke,Evans,Memphis,"[{'teamId': '1610612758', 'seasonStart': '2009', 'seasonEnd': '2012'}, {'teamId': '1610612740', 'seasonStart': '2013', 'seasonEnd': '2016'}, {'teamId': '1610612758', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612763', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612754', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612758', 'pickNum': '4', 'roundNum': '1', 'seasonYear': '2009'}",2009,9,G
Dante,Exum,,"[{'teamId': '1610612762', 'seasonStart': '2014', 'seasonEnd': '2018'}]","{'teamId': '1610612762', 'pickNum': '5', 'roundNum': '1', 'seasonYear': '2014'}",2014,3,G
Kenneth,Faried,Morehead State,"[{'teamId': '1610612743', 'seasonStart': '2011', 'seasonEnd': '2017'}, {'teamId': '1610612751', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612743', 'pickNum': '22', 'roundNum': '1', 'seasonYear': '2011'}",2011,7,F-C
Derrick,Favors,Georgia Tech,"[{'teamId': '1610612751', 'seasonStart': '2010', 'seasonEnd': '2010'}, {'teamId': '1610612762', 'seasonStart': '2010', 'seasonEnd': '2018'}]","{'teamId': '1610612751', 'pickNum': '3', 'roundNum': '1', 'seasonYear': '2010'}",2010,8,F-C
Cristiano,Felicio,,"[{'teamId': '1610612741', 'seasonStart': '2015', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2015,3,F-C
Raymond,Felton,North Carolina,"[{'teamId': '1610612766', 'seasonStart': '2005', 'seasonEnd': '2009'}, {'teamId': '1610612743', 'seasonStart': '2010', 'seasonEnd': '2010'}, {'teamId': '1610612752', 'seasonStart': '2010', 'seasonEnd': '2010'}, {'teamId': '1610612757', 'seasonStart': '2011', 'seasonEnd': '2011'}, {'teamId': '1610612752', 'seasonStart': '2012', 'seasonEnd': '2013'}, {'teamId': '1610612742', 'seasonStart': '2013', 'seasonEnd': '2015'}, {'teamId': '1610612746', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612760', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612766', 'pickNum': '5', 'roundNum': '1', 'seasonYear': '2005'}",2005,13,G
Terrance,Ferguson,,"[{'teamId': '1610612760', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612760', 'pickNum': '21', 'roundNum': '1', 'seasonYear': '2017'}",2017,1,G
Yogi,Ferrell,Indiana,"[{'teamId': '1610612751', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612742', 'seasonStart': '2016', 'seasonEnd': '2017'}, {'teamId': '1610612758', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2016,2,G
Dorian,Finney-Smith,Florida,"[{'teamId': '1610612742', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2016,2,F
Bryn,Forbes,Michigan State,"[{'teamId': '1610612759', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2016,2,G
Evan,Fournier,France,"[{'teamId': '1610612743', 'seasonStart': '2012', 'seasonEnd': '2013'}, {'teamId': '1610612753', 'seasonStart': '2014', 'seasonEnd': '2018'}]","{'teamId': '1610612743', 'pickNum': '20', 'roundNum': '1', 'seasonYear': '2012'}",2012,6,G-F
De'Aaron,Fox,Kentucky,"[{'teamId': '1610612758', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612758', 'pickNum': '5', 'roundNum': '1', 'seasonYear': '2017'}",2017,1,G
Tim,Frazier,,"[{'teamId': '1610612755', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612757', 'seasonStart': '2014', 'seasonEnd': '2015'}, {'teamId': '1610612740', 'seasonStart': '2015', 'seasonEnd': '2016'}, {'teamId': '1610612764', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612740', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2014,4,G
Melvin,Frazier Jr.,Tulane,"[{'teamId': '1610612753', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612753', 'pickNum': '35', 'roundNum': '2', 'seasonYear': '2018'}",2018,0,G-F
Channing,Frye,Arizona,"[{'teamId': '1610612752', 'seasonStart': '2005', 'seasonEnd': '2006'}, {'teamId': '1610612757', 'seasonStart': '2007', 'seasonEnd': '2008'}, {'teamId': '1610612756', 'seasonStart': '2009', 'seasonEnd': '2013'}, {'teamId': '1610612753', 'seasonStart': '2014', 'seasonEnd': '2015'}, {'teamId': '1610612739', 'seasonStart': '2015', 'seasonEnd': '2017'}, {'teamId': '1610612747', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612739', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612752', 'pickNum': '8', 'roundNum': '1', 'seasonYear': '2005'}",2005,12,F-C
Markelle,Fultz,Washington,"[{'teamId': '1610612755', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612755', 'pickNum': '1', 'roundNum': '1', 'seasonYear': '2017'}",2017,1,G
Wenyen,Gabriel,,"[{'teamId': '1610612758', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",,0,F
