firstName,lastName,collegeName,currentTeam,draftTeam,draftYear,yearsPro
Jahlil,Okafor,Duke,"[{'teamId': '1610612755', 'seasonStart': '2015', 'seasonEnd': '2017'}, {'teamId': '1610612751', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612740', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612755', 'pickNum': '3', 'roundNum': '1', 'seasonYear': '2015'}",2015,3
Elie,Okobo,,"[{'teamId': '1610612756', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612756', 'pickNum': '31', 'roundNum': '2', 'seasonYear': '2018'}",2018,0
Josh,Okogie,Georgia Tech,"[{'teamId': '1610612750', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612750', 'pickNum': '20', 'roundNum': '1', 'seasonYear': '2018'}",2018,0
Victor,Oladipo,Indiana,"[{'teamId': '1610612753', 'seasonStart': '2013', 'seasonEnd': '2015'}, {'teamId': '1610612760', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612754', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612753', 'pickNum': '2', 'roundNum': '1', 'seasonYear': '2013'}",2013,5
Kelly,Olynyk,Gonzaga,"[{'teamId': '1610612738', 'seasonStart': '2013', 'seasonEnd': '2016'}, {'teamId': '1610612748', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612742', 'pickNum': '13', 'roundNum': '1', 'seasonYear': '2013'}",2013,5
Cedi,Osman,Anadolu Efes,"[{'teamId': '1610612739', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612750', 'pickNum': '31', 'roundNum': '2', 'seasonYear': '2015'}",2017,1
Kelly,Oubre Jr.,Kansas,"[{'teamId': '1610612764', 'seasonStart': '2015', 'seasonEnd': '2018'}]","{'teamId': '1610612737', 'pickNum': '15', 'roundNum': '1', 'seasonYear': '2015'}",2015,3
Zaza,Pachulia,"Tbilisi, Georgia","[{'teamId': '1610612753', 'seasonStart': '2003', 'seasonEnd': '2003'}, {'teamId': '1610612749', 'seasonStart': '2004', 'seasonEnd': '2004'}, {'teamId': '1610612737', 'seasonStart': '2005', 'seasonEnd': '2012'}, {'teamId': '1610612749', 'seasonStart': '2013', 'seasonEnd': '2014'}, {'teamId': '1610612742', 'seasonStart': '2015', 'seasonEnd': '2015'}, {'teamId': '1610612744', 'seasonStart': '2016', 'seasonEnd': '2017'}, {'teamId': '1610612765', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612753', 'pickNum': '42', 'roundNum': '2', 'seasonYear': '2003'}",2003,15
Jabari,Parker,Duke,"[{'teamId': '1610612749', 'seasonStart': '2014', 'seasonEnd': '2017'}, {'teamId': '1610612741', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612749', 'pickNum': '2', 'roundNum': '1', 'seasonYear': '2014'}",2014,4
Tony,Parker,"Paris, France","[{'teamId': '1610612759', 'seasonStart': '2001', 'seasonEnd': '2017'}, {'teamId': '1610612766', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612759', 'pickNum': '28', 'roundNum': '1', 'seasonYear': '2001'}",2001,17
Chandler,Parsons,Florida,"[{'teamId': '1610612745', 'seasonStart': '2011', 'seasonEnd': '2013'}, {'teamId': '1610612742', 'seasonStart': '2014', 'seasonEnd': '2015'}, {'teamId': '1610612763', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612745', 'pickNum': '38', 'roundNum': '2', 'seasonYear': '2011'}",2011,7
Patrick,Patterson,Kentucky,"[{'teamId': '1610612745', 'seasonStart': '2010', 'seasonEnd': '2012'}, {'teamId': '1610612758', 'seasonStart': '2012', 'seasonEnd': '2013'}, {'teamId': '1610612761', 'seasonStart': '2013', 'seasonEnd': '2016'}, {'teamId': '1610612760', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612745', 'pickNum': '14', 'roundNum': '1', 'seasonYear': '2010'}",2010,8
Justin,Patton,Creighton,"[{'teamId': '1610612750', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612755', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612741', 'pickNum': '16', 'roundNum': '1', 'seasonYear': '2017'}",2017,1
Chris,Paul,Wake Forest,"[{'teamId': '1610612740', 'seasonStart': '2005', 'seasonEnd': '2010'}, {'teamId': '1610612746', 'seasonStart': '2011', 'seasonEnd': '2016'}, {'teamId': '1610612745', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612740', 'pickNum': '4', 'roundNum': '1', 'seasonYear': '2005'}",2005,13
Cameron,Payne,Murray State,"[{'teamId': '1610612760', 'seasonStart': '2015', 'seasonEnd': '2016'}, {'teamId': '1610612741', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612760', 'pickNum': '14', 'roundNum': '1', 'seasonYear': '2015'}",2015,3
Elfrid,Payton,Louisiana-Lafayette,"[{'teamId': '1610612753', 'seasonStart': '2014', 'seasonEnd': '2017'}, {'teamId': '1610612756', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612740', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612755', 'pickNum': '10', 'roundNum': '1', 'seasonYear': '2014'}",2014,4
Theo,Pinson,,"[{'teamId': '1610612751', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2018,0
Mason,Plumlee,Duke,"[{'teamId': '1610612751', 'seasonStart': '2013', 'seasonEnd': '2014'}, {'teamId': '1610612757', 'seasonStart': '2015', 'seasonEnd': '2016'}, {'teamId': '1610612743', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612751', 'pickNum': '22', 'roundNum': '1', 'seasonYear': '2013'}",2013,5
Miles,Plumlee,Duke,"[{'teamId': '1610612754', 'seasonStart': '2012', 'seasonEnd': '2012'}, {'teamId': '1610612756', 'seasonStart': '2013', 'seasonEnd': '2014'}, {'teamId': '1610612749', 'seasonStart': '2014', 'seasonEnd': '2016'}, {'teamId': '1610612766', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612737', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612754', 'pickNum': '26', 'roundNum': '1', 'seasonYear': '2012'}",2012,6
Jakob,Poeltl,Utah,"[{'teamId': '1610612761', 'seasonStart': '2016', 'seasonEnd': '2017'}, {'teamId': '1610612759', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612761', 'pickNum': '9', 'roundNum': '1', 'seasonYear': '2016'}",2016,2
Quincy,Pondexter,Washington,"[{'teamId': '1610612740', 'seasonStart': '2010', 'seasonEnd': '2010'}, {'teamId': '1610612763', 'seasonStart': '2011', 'seasonEnd': '2014'}, {'teamId': '1610612740', 'seasonStart': '2014', 'seasonEnd': '2016'}, {'teamId': '1610612741', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612759', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612760', 'pickNum': '26', 'roundNum': '1', 'seasonYear': '2010'}",2010,6
Michael,Porter Jr.,Missouri,"[{'teamId': '1610612743', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612743', 'pickNum': '14', 'roundNum': '1', 'seasonYear': '2018'}",,0
